source,company,role,location,posted_time,job_link,experience,skills,match_score,freshness_priority,final_score,priority_label,status,applied_date,followup_date,notes,recruiter_email,final_score_num
Adzuna,Optimspace,Machine Learning Intern,"Pune, Maharashtra",2025-11-20T00:58:19Z,https://www.adzuna.in/details/5503837634?utm_medium=api&utm_source=e17291d5,Check JD,"Machine Learning Intern Company: Optimspace.in Location: Remote Duration: 3 months Opportunity: Full-time based on performance, with Certificate of Internship About Optimspace.in Optimspace.in provides students and graduates with hands-on learning opportunities and career growth in Machine Learning and Data Science. Role Overview As a Machine Learning Intern, you will work on real-world projects, enhancing your practical skills in data analysis and model development. Responsibilities ✅ Design, … ",16,Highest,73,High Priority,Pending,,,,,73
Adzuna,Mente Consultancies,Paid Internship - Machine Learning and Programming,"New Delhi, Delhi",2026-05-13T18:59:09Z,https://www.adzuna.in/land/ad/5728103111?se=oM4ywYZQ8RGNw-9vM3bulQ&utm_medium=api&utm_source=e17291d5&v=A530CF95D3A5832FE43B24E65D646FADAA6D94CB,Check JD,"Mente Consultancies Pvt. Ltd. is looking for Machine Learning and Programming interns at their office located in New Delhi. The internship will vary with an initial period of 3 months to 6 months, including 2 weeks of Induction training. The incumbent will be paid during the internship period. This is an on-site role. The incumbent is expected to do the following: - Work on programming assignments leveraging Java, Python, R and SAS Support project teams on design, development and testing of sof… ",16,Highest,73,High Priority,Pending,,,,,73
Adzuna,Unknown Company,Data Research Executive,"Chennai, Tamil Nadu",2024-05-10T07:38:59Z,https://www.adzuna.in/details/4686706089?utm_medium=api&utm_source=e17291d5,Check JD,"We are looking out fresher/experienced for data analyst role in our organization. Incumbent must have good knowledge in data research.Salary would be 8000-10000 Per Month.Regards,Mr.Sridhar.S ",0,Highest,73,High Priority,Pending,,,,,73
Adzuna,Pearson,"Advanced Specialist, Technology Data Analyst","Bangalore, Karnataka",2026-05-15T10:03:34Z,https://www.adzuna.in/details/5730053471?utm_medium=api&utm_source=e17291d5,Check JD,"Role Overview We are looking for a Data Platform Reliability Engineer to ensure the reliability, scalability, and performance of our enterprise data platform. This role blends Site Reliability Engineering (SRE) and DevOps practices to support modern cloud-based data ecosystems built on Google BigQuery, lakehouse architectures, and distributed data pipelines. You will play a key role in building highly resilient, governable, observable, and cost-efficient data platforms, while enabling engineeri… ",0,Highest,73,High Priority,Pending,,,,,73
Adzuna,AagatiServe,Data Analyst,"Coimbatore, Tamil Nadu",2026-05-15T09:21:42Z,https://www.adzuna.in/land/ad/5730011566?se=toTuC4dQ8RGiJchPzKRtww&utm_medium=api&utm_source=e17291d5&v=2C6FF96A75AD018AFE285A48319B258197AE622A,Check JD,"Job Description: Job Title: Data Processing Analyst Job Type: Full-Time Experience: 3 Years in Market Research Industry Job Summary: We are looking for a meticulous and analytical Data Processing Analyst to join our team. The ideal candidate will have over 3 years of experience in the market research industry, with a strong background in data processing and analysis. This role involves managing and processing large datasets to ensure data quality and integrity for research projects. Key Respons… ",0,Highest,73,High Priority,Pending,,,,,73
Adzuna,Gururo,Data Analyst – Intern/Fresher/Experienced,"Vadodara, Gujarat",2025-12-04T23:07:36Z,https://www.adzuna.in/details/5527692918?utm_medium=api&utm_source=e17291d5,Check JD,"Location : Vadodara Type : Full-time / Internship Duration (for interns) : Minimum 3 months Stipend/CTC : Based on experience and role About Gururo Gururo is a global leader in practical, career-transforming education. With a mission to equip professionals and students with real-world skills, we specialize in project management, leadership, business analytics, and emerging technologies. Join our dynamic, impact-driven team to work on data-centric products that empower decision-making and transf… ",0,Highest,73,High Priority,Pending,,,,,73
Adzuna,Cerebras Systems,ML Research Engineer (Inference),"Bangalore, Karnataka",2026-04-11T01:51:53Z,https://www.adzuna.in/details/5695856800?utm_medium=api&utm_source=e17291d5,Check JD,"Cerebras Systems builds the world's largest AI chip, 56 times larger than GPUs. Our novel wafer-scale architecture provides the AI compute power of dozens of GPUs on a single chip, with the programming simplicity of a single device. This approach allows Cerebras to deliver industry-leading training and inference speeds and empowers machine learning users to effortlessly run large-scale ML applications, without the hassle of managing hundreds of GPUs or TPUs. Cerebras' current customers include … ",16,Highest,73,High Priority,Pending,,,,,73
Adzuna,Mente Consultancies,Paid Internship - Machine Learning and Programming,"New Delhi, Delhi",2026-05-13T18:59:09Z,https://www.adzuna.in/land/ad/5728103111?se=YJt8s4ZQ8RGH_dNRytL1PQ&utm_medium=api&utm_source=e17291d5&v=A530CF95D3A5832FE43B24E65D646FADAA6D94CB,Check JD,"Mente Consultancies Pvt. Ltd. is looking for Machine Learning and Programming interns at their office located in New Delhi. The internship will vary with an initial period of 3 months to 6 months, including 2 weeks of Induction training. The incumbent will be paid during the internship period. This is an on-site role. The incumbent is expected to do the following: - Work on programming assignments leveraging Java, Python, R and SAS Support project teams on design, development and testing of sof… ",16,Highest,73,High Priority,Pending,,,,,73
Adzuna,UK&Co,Data Analyst,India,2026-02-17T03:17:17Z,https://www.adzuna.in/details/5632361335?utm_medium=api&utm_source=e17291d5,Check JD,"Company Overview UK&Co is a management consulting firm with over three decades of experience in creating legendary brands. We specialize in working with FMCG organizations, employing a data-driven approach to help build next-generation brand experiences. Our proprietary research methodology and deep industry expertise enable us to focus on execution from the onset of our assignments. With our headquarters in Bangalore and a team of 11-50 employees, UK&Co is dedicated to decision-making and impl… ",0,Highest,73,High Priority,Pending,,,,,73
Adzuna,Informica Solutions,ML Lead - Pan India (Hybrid) - 8Years,India,2026-05-15T22:35:49Z,https://www.adzuna.in/details/5730456115?utm_medium=api&utm_source=e17291d5,Check JD,"Role Summary We are seeking a highly experienced Machine Learning Lead to drive the architecture, development, and deployment of advanced machine learning solutions. In this role, you will not only lead a talented technical team but also serve as the critical bridge between our engineering efforts and our clients. You must possess the unique ability to distill complex, highly technical ML concepts into clear, business-driven language for stakeholders, ensuring the successful delivery of complex… ",11,Highest,71,High Priority,Pending,,,,,71
Adzuna,Gururo,AI/ML Engineer – Intern/Fresher/Experienced,"Vadodara, Gujarat",2025-12-04T23:03:49Z,https://www.adzuna.in/details/5527658896?utm_medium=api&utm_source=e17291d5,Check JD,"Location: Vadodara Type: Full-time / Internship Duration (for interns): Minimum 3 months Stipend/CTC: Based on experience and role About Gururo Gururo is an industry leader in practical, career-transforming education. With a mission to empower professionals and students through real-world skills, we specialize in project management, leadership development, and emerging technologies. Join our fast-paced, mission-driven team and work on AI/ML-powered platforms that impact thousands globally. Who … ",11,Highest,71,High Priority,Pending,,,,,71
Adzuna,REDHILL SOFTEC,Internship for Final Year Students,"Bangalore, Karnataka",2024-06-28T09:52:51Z,https://www.adzuna.in/details/4755734491?utm_medium=api&utm_source=e17291d5,Check JD,Internship Opportunity at REDHILL SOFTEC Position: Software Intern Duration: 3 Months Domains: Machine Learning or Full Stack Web Development Working Hours: 10 AM - 6 PM About REDHILL SOFTEC: REDHILL SOFTEC is a dynamic and innovative tech company committed to fostering talent and driving technological advancements. We are excited to announce an exclusive internship opportunity for MCA students passionate about Machine Learning or Full Stack Web Development. Internship Details: Duration: The in… ,11,Highest,71,High Priority,Pending,,,,,71
